sampleid	G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
13722.58cfa830e4b0c9d6adf6becf	0	0	1	0	0	0	0	0	0	0	0	21071	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	5	3	0
13722.58cfa830e4b0c9d6adf6bee4	0	0	0	0	0	0	0	2	0	0	0	22262	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0
13722.58cfa830e4b0c9d6adf6beea	0	0	1	0	0	0	0	0	0	0	1	23473	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0
13722.58cfa830e4b0c9d6adf6bf28	0	14	1	0	0	0	0	5	0	0	0	33343	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	8	1	0	0
13722.58cfa830e4b0c9d6adf6bf50	0	0	0	0	0	0	0	0	0	0	0	20159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
13722.58cfa830e4b0c9d6adf6bcc6	0	0	9	0	0	0	0	2	0	1	2	7111	1	0	1	0	14	0	0	0	0	0	0	1	0	0	4	0	1	1	1
13722.58cfa830e4b0c9d6adf6bf44	0	0	2	0	0	0	0	8	0	0	0	19504	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	16	0
13722.58cfa830e4b0c9d6adf6c062	0	0	0	0	0	0	0	0	0	0	0	19185	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	3	0
13722.58cfa830e4b0c9d6adf6c134	0	0	0	0	0	0	0	2	0	0	0	15511	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	12	0
13722.58cfa830e4b0c9d6adf6c128	0	0	0	0	0	0	0	0	0	0	0	6046	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	4	0
13722.58cfa830e4b0c9d6adf6bf55	0	0	1	0	0	0	0	6	0	0	0	20854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0
13722.58cfa830e4b0c9d6adf6c02e	0	0	3	0	0	0	0	0	0	0	0	26270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1
13722.58cfa830e4b0c9d6adf6c1a0	0	0	0	0	0	0	0	4	0	0	0	19676	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0
13722.58cfa830e4b0c9d6adf6c136	0	0	0	0	0	0	0	2	0	0	0	21731	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0
13722.58cfa830e4b0c9d6adf6c1a6	0	0	0	0	0	0	0	0	0	0	0	14516	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	6	0
13722.58cfa830e4b0c9d6adf6c138	0	0	0	0	0	0	0	2	0	0	0	22805	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
13722.58cfa830e4b0c9d6adf6c1d4	0	0	1	0	0	0	0	0	0	0	0	20612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa830e4b0c9d6adf6c1e1	0	0	3	0	0	0	0	2	0	0	0	29371	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0
13722.58cfa830e4b0c9d6adf6bf40	0	0	11	0	0	0	0	0	0	0	0	24834	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	103	0
13722.58cfa830e4b0c9d6adf6c202	0	0	0	0	0	0	0	0	0	0	0	17935	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
13722.58cfa830e4b0c9d6adf6c208	0	0	1	0	0	0	0	2	0	0	0	18488	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	0	1	0
13722.58cfa830e4b0c9d6adf6c232	0	0	4	0	0	0	0	0	0	1	0	22792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
13722.58cfa830e4b0c9d6adf6c236	0	0	0	0	0	0	0	2	0	0	0	18958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	1	0
13722.58cfa830e4b0c9d6adf6c234	0	0	0	0	0	0	0	0	0	0	0	29778	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	3	2	0
13722.58cfa830e4b0c9d6adf6c286	0	0	0	0	0	0	0	0	0	0	0	3421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa830e4b0c9d6adf6c23a	0	0	1	0	0	0	0	0	0	0	0	34078	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	4	1	0
13722.58cfa830e4b0c9d6adf6c29c	0	0	8	0	0	0	0	0	0	0	0	17403	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	2
13722.58cfa830e4b0c9d6adf6c2a8	0	0	0	0	0	0	0	5	0	0	0	17474	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	10	1	1	0
13722.58cfa830e4b0c9d6adf6c2aa	0	0	0	0	0	0	0	2	0	0	0	25439	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0
13722.58cfa830e4b0c9d6adf6c25a	0	0	1	0	0	0	0	0	0	0	0	19539	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0
13722.58cfa831e4b0c9d6adf6c34a	0	0	0	0	0	0	0	0	0	0	0	4326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa830e4b0c9d6adf6c2db	0	0	2	0	0	0	0	2	0	0	0	25605	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0
13722.58cfa830e4b0c9d6adf6c31e	0	0	0	0	0	0	0	0	0	0	0	10453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
13722.58cfa831e4b0c9d6adf6c389	0	0	0	0	0	1	0	0	0	0	0	2114	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c366	0	0	0	1	0	0	0	0	0	0	0	15145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa831e4b0c9d6adf6c3b0	0	0	0	0	0	0	0	0	0	0	0	2654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
