sampleid	Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
13722.58cfa830e4b0c9d6adf6bdd0	0	0	0	0	0	0	0	9205	0	0	0	0	114	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	291
13722.58cfa830e4b0c9d6adf6bd7e	0	0	0	0	2	0	0	16043	0	0	2	1	4109	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	0	0	11552
13722.58cfa830e4b0c9d6adf6be94	0	0	0	0	0	0	0	14397	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	0	47
13722.58cfa82fe4b0c9d6adf6ba37	0	0	0	0	4	0	0	13547	0	0	0	1	28721	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	83525
13722.58cfa82fe4b0c9d6adf6b988	1	0	0	0	3	0	0	26744	2	0	1	0	11744	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	41423
13722.58cfa830e4b0c9d6adf6be88	0	0	0	0	0	0	0	26952	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8
13722.58cfa830e4b0c9d6adf6becf	0	0	0	0	0	0	0	21071	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	11
13722.58cfa830e4b0c9d6adf6bee4	0	0	0	0	2	0	0	22262	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	12
13722.58cfa830e4b0c9d6adf6beea	0	0	0	0	0	1	0	23473	0	0	0	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
13722.58cfa830e4b0c9d6adf6bf28	14	0	0	0	5	0	0	33343	0	0	0	0	178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	8	0	0	503
