G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
0	0	3	0	0	0	0	0	0	0	0	9741	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0
0	0	5	0	0	0	0	0	0	0	0	20437	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	30755	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
0	0	3	0	0	0	0	0	0	0	0	15664	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0
0	0	0	0	0	0	0	0	0	0	0	16533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	6	0	0	0	0	0	0	0	0	27762	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	9	9	0
0	0	2	0	0	0	0	0	0	0	1	14151	0	0	0	0	2	0	0	0	0	0	0	0	4	0	1	4	0	0	0
0	0	1	0	0	0	0	0	0	0	0	21788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
0	0	1	0	0	0	0	1	0	0	0	15336	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	6	3	0
0	0	2	0	0	0	0	0	0	0	0	22919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	26706	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	10	6	3	0
0	0	3	0	0	0	0	0	0	0	0	27772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
0	0	10	0	0	0	0	0	0	0	0	27719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	15329	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	13787	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	0	0	0	16160	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	23963	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4689	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	17941	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	17254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
0	0	0	0	0	0	0	0	0	0	0	17309	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	12316	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0	0	7	0	0	0	0	2	0	0	0	11593	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	72	0
0	0	0	0	0	0	0	0	0	0	0	4303	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	4	0	17760	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	15688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	7003	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
0	0	14	0	0	0	0	0	0	0	0	12648	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	5	2	2	0
0	0	0	0	0	0	0	0	0	0	0	5079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	2	0	0	0	25203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
