Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
0	0	0	0	0	0	0	16764	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	10
0	0	0	0	0	0	0	14459	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3
249	0	0	0	0	0	0	5869	61	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0	2	0	0	9522	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	17281	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
0	0	0	0	2	0	0	24383	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10
0	0	0	0	0	0	0	23519	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	60
0	0	0	0	2	0	0	12920	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	12
0	0	0	0	0	0	0	9741	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	46
0	0	0	0	0	0	0	20437	2	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	37
0	0	0	0	0	0	0	30755	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
0	0	0	0	0	0	0	15664	0	0	0	0	97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	245
0	0	0	0	0	0	0	16533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2
0	0	0	0	0	0	0	27762	1	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	171
0	0	0	0	0	1	0	14151	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	4	1	1	19
0	0	0	0	0	0	0	21788	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	13
0	0	0	0	1	0	0	15336	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	19
0	0	0	0	0	0	0	22919	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7
0	0	0	0	0	0	0	26706	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	10	0	0	34
