sampleid,G000002515,G000002545,G000003855,G000006335,G000006445,G000026945,G000091025,G000146045,G000149425,G000149645,G000149955,G000181695,G000182965,G000185945,G000226395,G000243375,G000300575,G000315645,G000349305,G000721785,G000769745,G001298625,G001417885,G001642055,G001661405,G002079055,G002775015,G003290485,G004154835,G004353045,G900007375
13722.58cfa831e4b0c9d6adf6c3fc,0,0,0,0,0,0,0,0,2,0,0,21895,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6c39a,0,0,0,0,0,0,0,0,0,0,0,19917,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c57b,0,0,0,0,0,0,0,0,0,0,0,4526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c5c8,0,0,0,0,0,0,0,0,0,0,0,5546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa830e4b0c9d6adf6c214,0,0,0,915,0,2,0,0,1,0,0,22868,4,0,0,0,6,0,0,0,0,0,0,0,0,0,1,15,0,0,0
13722.58cfa831e4b0c9d6adf6c61a,0,0,0,0,0,0,0,0,0,0,0,16764,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
13722.58cfa831e4b0c9d6adf6c670,0,0,0,0,0,0,0,0,0,0,0,14459,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13722.58cfa831e4b0c9d6adf6c5ed,0,249,0,0,0,3,0,0,0,0,0,5869,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c73a,0,0,0,0,0,0,0,2,0,0,0,9522,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13722.58cfa831e4b0c9d6adf6c6be,0,0,0,0,0,0,0,0,0,0,0,17281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,1,1,0
13722.58cfa831e4b0c9d6adf6c702,0,0,2,0,0,0,0,2,0,0,0,24383,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
13722.58cfa831e4b0c9d6adf6c7aa,0,0,5,0,0,0,0,0,0,2,0,23519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13722.58cfa831e4b0c9d6adf6c7b1,0,0,2,0,0,0,0,2,0,0,0,12920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
13722.58cfa831e4b0c9d6adf6c7c8,0,0,3,0,0,0,0,0,0,0,0,9741,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
13722.58cfa831e4b0c9d6adf6c78a,0,0,5,0,0,0,0,0,0,0,0,20437,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
